21293|Marjanji Aceh|Aek Songsongan|KAB. ASAHAN|SUMATERA UTARA|
23111|Kopelma Darussalam|Syiah Kuala|KOTA BANDA ACEH|ACEH|
23112|Rukoh|Syiah Kuala|KOTA BANDA ACEH|ACEH|
23113|Alue Naga|Syiah Kuala|KOTA BANDA ACEH|ACEH|
23113|Deah Raya|Syiah Kuala|KOTA BANDA ACEH|ACEH|
23114|Jeulingke|Syiah Kuala|KOTA BANDA ACEH|ACEH|
23114|Tibang|Syiah Kuala|KOTA BANDA ACEH|ACEH|
23115|Lamgugob|Syiah Kuala|KOTA BANDA ACEH|ACEH|
23115|Peurada|Syiah Kuala|KOTA BANDA ACEH|ACEH|
23116|Pineung|Syiah Kuala|KOTA BANDA ACEH|ACEH|
23116|Ie Masen Kayee Adang|Syiah Kuala|KOTA BANDA ACEH|ACEH|
23117|Ceurih|Ulee Kareng|KOTA BANDA ACEH|ACEH|
23117|Lamglumpang|Ulee Kareng|KOTA BANDA ACEH|ACEH|
23117|Doy|Ulee Kareng|KOTA BANDA ACEH|ACEH|
23117|Ie Masen Ulee Kareng|Ulee Kareng|KOTA BANDA ACEH|ACEH|
23118|Lambhuk|Ulee Kareng|KOTA BANDA ACEH|ACEH|
23118|Lamteh|Ulee Kareng|KOTA BANDA ACEH|ACEH|
23119|Pango Raya|Ulee Kareng|KOTA BANDA ACEH|ACEH|
23119|Pango Deah|Ulee Kareng|KOTA BANDA ACEH|ACEH|
23119|Ilie|Ulee Kareng|KOTA BANDA ACEH|ACEH|
23121|Kuta Alam|Kuta Alam|KOTA BANDA ACEH|ACEH|
23122|Peunayong|Kuta Alam|KOTA BANDA ACEH|ACEH|
23122|Laksana|Kuta Alam|KOTA BANDA ACEH|ACEH|
23123|Mulia|Kuta Alam|KOTA BANDA ACEH|ACEH|
23123|Keuramat|Kuta Alam|KOTA BANDA ACEH|ACEH|
23124|Beurawe|Kuta Alam|KOTA BANDA ACEH|ACEH|
23125|Kota Baru|Kuta Alam|KOTA BANDA ACEH|ACEH|
23126|Bandar Baru|Kuta Alam|KOTA BANDA ACEH|ACEH|
23127|Lamdingin|Kuta Alam|KOTA BANDA ACEH|ACEH|
23127|Lampulo|Kuta Alam|KOTA BANDA ACEH|ACEH|
23127|Lambaro Skep|Kuta Alam|KOTA BANDA ACEH|ACEH|
23128|Gampong Jawa|Kuta Raja|KOTA BANDA ACEH|ACEH|
23128|Gampong Pande|Kuta Raja|KOTA BANDA ACEH|ACEH|
23129|Lampaseh Kota|Kuta Raja|KOTA BANDA ACEH|ACEH|
23129|Peulanggahan|Kuta Raja|KOTA BANDA ACEH|ACEH|
23129|Keudah|Kuta Raja|KOTA BANDA ACEH|ACEH|
23129|Merduati|Kuta Raja|KOTA BANDA ACEH|ACEH|
23231|Lampaseh Aceh|Meuraxa|KOTA BANDA ACEH|ACEH|
23231|Punge Jurong|Meuraxa|KOTA BANDA ACEH|ACEH|
23232|Deah Baro|Meuraxa|KOTA BANDA ACEH|ACEH|
23232|Alue Deah Teungoh|Meuraxa|KOTA BANDA ACEH|ACEH|
23232|Deah Glumpang|Meuraxa|KOTA BANDA ACEH|ACEH|
23233|Lambung|Meuraxa|KOTA BANDA ACEH|ACEH|
23233|Blang Oi|Meuraxa|KOTA BANDA ACEH|ACEH|
23233|Punge Ujong|Meuraxa|KOTA BANDA ACEH|ACEH|
23233|Ulee Lheue|Meuraxa|KOTA BANDA ACEH|ACEH|
23233|Gampong Pie|Meuraxa|KOTA BANDA ACEH|ACEH|
23233|Cot Lamkuweuh|Meuraxa|KOTA BANDA ACEH|ACEH|
23234|Gampong Blang|Meuraxa|KOTA BANDA ACEH|ACEH|
23234|Surien|Meuraxa|KOTA BANDA ACEH|ACEH|
23234|Gampong Baro|Meuraxa|KOTA BANDA ACEH|ACEH|
23234|Lamjabat|Meuraxa|KOTA BANDA ACEH|ACEH|
23234|Asoe Nanggroe|Meuraxa|KOTA BANDA ACEH|ACEH|
23235|Bitai|Jaya Baru|KOTA BANDA ACEH|ACEH|
23235|Lampoh Daya|Jaya Baru|KOTA BANDA ACEH|ACEH|
23235|Ulee Pata|Jaya Baru|KOTA BANDA ACEH|ACEH|
23235|Lamjamee|Jaya Baru|KOTA BANDA ACEH|ACEH|
23235|Punge Blang Cut|Jaya Baru|KOTA BANDA ACEH|ACEH|
23236|Emperom|Jaya Baru|KOTA BANDA ACEH|ACEH|
23236|Lamteumen Barat|Jaya Baru|KOTA BANDA ACEH|ACEH|
23236|Lamteumen Timur|Jaya Baru|KOTA BANDA ACEH|ACEH|
23237|Geuceu Meunara|Jaya Baru|KOTA BANDA ACEH|ACEH|
23238|Lhong Raya|Banda Raya|KOTA BANDA ACEH|ACEH|
23238|Lampeout|Banda Raya|KOTA BANDA ACEH|ACEH|
23238|Mibo|Banda Raya|KOTA BANDA ACEH|ACEH|
23238|Lhong Cut|Banda Raya|KOTA BANDA ACEH|ACEH|
23238|Peunyerat|Banda Raya|KOTA BANDA ACEH|ACEH|
23238|Lam Ara|Banda Raya|KOTA BANDA ACEH|ACEH|
23239|Lamlagang|Banda Raya|KOTA BANDA ACEH|ACEH|
23239|Geuceu Kayee Jato|Banda Raya|KOTA BANDA ACEH|ACEH|
23239|Geuceu Iniem|Banda Raya|KOTA BANDA ACEH|ACEH|
23239|Geuceu Komplek|Banda Raya|KOTA BANDA ACEH|ACEH|
23241|Ateuk Pahlawan|Baiturrahman|KOTA BANDA ACEH|ACEH|
23241|Peuniti|Baiturrahman|KOTA BANDA ACEH|ACEH|
23242|Kampung Baru|Baiturrahman|KOTA BANDA ACEH|ACEH|
23243|Seutui|Baiturrahman|KOTA BANDA ACEH|ACEH|
23243|Sukaramai|Baiturrahman|KOTA BANDA ACEH|ACEH|
23243|Neusu Jaya|Baiturrahman|KOTA BANDA ACEH|ACEH|
23244|Ateuk Deah Tanoh|Baiturrahman|KOTA BANDA ACEH|ACEH|
23244|Neusu Aceh|Baiturrahman|KOTA BANDA ACEH|ACEH|
23244|Ateuk Munjeng|Baiturrahman|KOTA BANDA ACEH|ACEH|
23244|Ateuk Jawo|Baiturrahman|KOTA BANDA ACEH|ACEH|
23246|Lamdom|Lueng Bata|KOTA BANDA ACEH|ACEH|
23246|Cot Mesjid|Lueng Bata|KOTA BANDA ACEH|ACEH|
23246|Batoh|Lueng Bata|KOTA BANDA ACEH|ACEH|
23247|Panteriek|Lueng Bata|KOTA BANDA ACEH|ACEH|
23247|Leung Bata|Lueng Bata|KOTA BANDA ACEH|ACEH|
23247|Lamseupeung|Lueng Bata|KOTA BANDA ACEH|ACEH|
23248|Blang Cut|Lueng Bata|KOTA BANDA ACEH|ACEH|
23248|Lampaloh|Lueng Bata|KOTA BANDA ACEH|ACEH|
23249|Sukadamai|Lueng Bata|KOTA BANDA ACEH|ACEH|
23351|Lambadeuk|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Lamteh|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Lampageu|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Lampisang|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Lam Lumpu|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Beuradeun|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Ajuen|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Rima Keuneurom|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Lamguron|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Pulo Bunta|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Rima Jeuneu|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Lambaro Nejid|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Gampong Baro|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Paya Tieng|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Keuneu Eu|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Lam Rukam|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Lam Hasan|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Meunasah Tuha|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Lam Isek|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Gurah|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Lam Geu Eu|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Lamkeumok|Peukan Bada|KAB. ACEH BESAR|ACEH|
23351|Lam Manyang|Peukan Bada|KAB. ACEH BESAR|ACEH|
